SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
2000000;9;0;0,0919;0,24513;0,16992;0,0334;0,00836;0,0056;0,13649;98,0538;0,077
3850000;8;1;0,0772;0,21365;0,16024;0,0059;0;0,003;0,07122;95,0831;-0,215
405500;3;5;0,0255;0,1617;0,13617;0,0043;0,00851;0,0213;0,05957;101,167;-0,603
410000;0;0;0,0344;0,24251;0,15569;0,0344;0,00898;0,0105;0,12575;95,3245;-0,005
457000;2;0;0,0689;0,29339;0,19284;0,0234;0,0124;0,0152;0,11433;102,198;0,214
465000;2;0;0,0665;0,25966;0,17597;0,03;0,00858;0,015;0,10944;100,52;0,046
15730195;1;0;0,122;0,31098;0,19512;0,0305;0;0;0,09756;98,4476;0,483
750000;5;1;0,1006;0,19231;0,13609;0,0178;0,00296;0,0059;0,10355;100,667;-0,214
1625000;21;0;0,1085;0,21964;0,15245;0,0336;0,00775;0,0026;0,12661;99,7202;-0,002
850000;16;21;0,072;0,22;0,156;0;0,004;0,008;0,092;98,1;-0,146
550000;26;5;0,0956;0,20588;0,16544;0;0,00368;0,0037;0,0625;102,993;-0,169
13400000;1;0;0,0817;0,24183;0,15196;0,0409;0,00654;0,0049;0,12582;98,009;0,061
10000000;1;0;0,0767;0,25479;0,19726;0,011;0,01233;0,0082;0,07808;102,012;-0,06
15500000;0;0;0,085;0,27333;0,17167;0,045;0,00667;0,01;0,15167;100,986;0,223
8500000;7;0;0,0546;0,21818;0,16364;0,0212;0,00606;0,0212;0,13636;97,7185;-0,218
950000;3;0;0,0365;0,27007;0,22628;0;0,0073;0;0,08759;98,7993;-0,112
1550000;3;2;0,0963;0,23311;0,18074;0,0118;0,01182;0,0118;0,10135;99,7292;-0,063
810000;14;0;0,1095;0,25072;0,17291;0,0173;0,01153;0,0058;0,11527;101,198;0,085
15000000;1;0;0,1147;0,24806;0,13643;0,0419;0,0093;0,0047;0,17209;101,705;0,221
850000;2;2;0,0794;0,18519;0,1164;0,0212;0,01058;0;0,11111;99,2645;-0,187
945000;25;9;0,0564;0,24332;0,18101;0,0089;0;0,003;0,09496;99,7766;-0,103
11500000;0;0;0,0632;0,23158;0,13684;0,0211;0;0,0105;0,14737;99,2589;-0,105
1500000;6;0;0,11;0,21;0,175;0,005;0,01;0,005;0,07;99,5635;-0,179
5083333;2;8;0,0856;0,24939;0,18093;0,0171;0,00978;0,0098;0,10024;102,048;0,007
5000000;12;0;0,08;0,19667;0,16;0;0,01;0,0067;0,07667;100,345;-0,319
6000000;0;0;0,0676;0,26335;0,14947;0,0427;0,00712;0;0,13523;101,079;0,146
4000000;15;0;0,0719;0,2446;0,15108;0,0072;0,0036;0,0108;0,07554;101,368;-0,009
411000;13;1;0,1005;0,26094;0,13128;0,06;0,01297;0,0097;0,18314;98,7319;0,348
