Település;Lakosság
Gödre;824
Kisbeszterce;83
Kishajmás;204
Kisvaszar;346
Mágocs;2290
Mekényes;282
Meződ;116
Mindszentgodisa;854
Nagyhajmás;328
Palé;103
Sásd;3082
Szágy;131
Tarrós;108
Tékes;253
Tormás;280
Varga;81
Vásárosdombó;1108
Vázsnok;134
Bikal;718
Bodolyabér;240
Egyházaskozár;748
Hegyhátmaróc;154
Kárász;333
Komló;24608
Köblény;219
Liget;414
Magyaregregy;751
Magyarhertelend;637
Magyarszék;1037
Mánfa;793
Máza;1237
Mecsekpölöske;429
Oroszló;287
Szalatnak;320
Szárász;47
Szászvár;2328
Tófű;127
Vékény;140
Bár;555
Bezedek;241
Dunaszekcső;1879
Erdősmárok;92
Feked;211
Görcsönydoboka;372
Himesháza;1033
Homorúd;575
Ivándárda;238
Kisnyárád;193
Kölked;1026
Lánycsók;2500
Lippó;509
Majs;956
Maráza;193
Mohács;18648
Nagynyárád;697
Palotabozsok;841
Sárok;119
Sátorhely;648
Somberek;1461
Szebény;355
Székelyszabar;582
Szűr;269
Udvar;135
Véménd;1415
Abaliget;685
Aranyosgadány;377
Áta;199
Bakonya;395
Berkesd;876
Birján;530
Bogád;1148
Bosta;147
Cserkút;634
Egerág;1013
Ellend;229
Görcsöny;1577
Gyód;740
Hosszúhetény;3451
Husztót;64
Keszü;1433
Kisherend;214
Kovácsszénája;87
Kozármisleny;6576
Kökény;688
Kővágószőlős;1338
Kővágótöttös;350
Lothárd;262
Magyarsarlós;294
Nagykozár;2080
Ócsárd;417
Orfű;1111
Pécs;146721
Pécsudvard;811
Pellérd;2374
Pereked;163
Pogány;1338
Regenye;168
Romonya;542
Szalánta;1178
Szemely;476
Szilágy;290
Szilvás;153
Szőke;139
Szőkéd;379
Apátvarasd;133
Erdősmecske;357
Erzsébet;302
Fazekasboda;203
Geresdlak;777
Hidas;2108
Kátoly;294
Kékesd;185
Lovászhetény;307
Martonfa;233
Mecseknádasd;1582
Nagypall;387
Óbánya;146
Ófalu;350
Pécsvárad;3998
Szellő;152
Zengővárkony;435
Adorjás;191
Baksa;792
Baranyahídvég;198
Besence;118
Bogádmindszent;458
Bogdása;259
Csányoszró;627
Drávafok;530
Drávaiványi;193
Drávakeresztúr;132
Drávasztára;410
Felsőszentmárton;854
Gilvánfa;396
Hegyszentmárton;397
Hirics;270
Kákics;209
Kemse;63
Kisasszonyfa;213
Kisszentmárton;263
Kórós;218
Lúzsok;238
Magyarmecske;337
Magyartelek;208
Markóc;65
Marócsa;79
Nagycsány;135
Okorág;165
Ózdfalu;152
Páprád;160
Piskó;268
Sámod;197
Sellye;2684
Sósvertike;178
Tengeri;47
Téseny;329
Vajszló;1766
Vejti;158
Zaláta;247
Alsószentmárton;1238
Babarcszőlős;124
Beremend;2414
Bisse;235
Cún;221
Csarnóta;144
Diósviszló;696
Drávacsehi;188
Drávacsepely;213
Drávapalkonya;264
Drávapiski;99
Drávaszabolcs;691
Drávaszerdahely;181
Egyházasharaszti;348
Garé;304
Gordisa;311
Harkány;5022
Illocska;272
Ipacsfa;207
Ivánbattyán;117
Kásád;298
Kémes;479
Kisdér;123
Kisharsány;494
Kisjakabfalva;127
Kiskassa;252
Kislippó;301
Kistapolca;195
Kistótfalu;307
Kovácshida;264
Lapáncsa;175
Magyarbóly;922
Márfa;215
Márok;432
Matty;332
Nagyharsány;1474
Nagytótfalu;343
Old;341
Palkonya;278
Pécsdevecser;115
Peterd;220
Rádfalva;203
Siklós;9631
Siklósbodony;161
